2025-07-03 17:08:59 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-07-03 17:08:59 [main] INFO  com.microservice.demo.ConfigServer - Starting ConfigServer using Java 23.0.1 with PID 665108 (/home/sagar/codingworks/javaspring/microservice-demo/config-server/target/classes started by sagar in /home/sagar/codingworks/javaspring/microservice-demo)
2025-07-03 17:08:59 [main] INFO  com.microservice.demo.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2025-07-03 17:09:01 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=11d3cee0-8ca0-3361-a5aa-39a87f20b3c3
2025-07-03 17:09:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2025-07-03 17:09:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2025-07-03 17:09:01 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-03 17:09:01 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2025-07-03 17:09:01 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-03 17:09:01 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1637 ms
2025-07-03 17:09:02 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2025-07-03 17:09:02 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path '/'
2025-07-03 17:09:02 [main] INFO  com.microservice.demo.ConfigServer - Started ConfigServer in 3.554 seconds (process running for 4.341)
2025-07-03 17:09:13 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-03 17:09:13 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-03 17:09:13 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-07-03 17:09:14 [http-nio-8888-exec-1] DEBUG o.s.c.c.s.s.GitCredentialsProviderFactory - Constructing UsernamePasswordCredentialsProvider for URI file://home/sagar/codingworks/javaspring/microservice-demo/config-server-repository
2025-07-03 17:09:14 [http-nio-8888-exec-1] INFO  o.a.s.c.u.s.e.EdDSASecurityProviderRegistrar - getOrCreateProvider(EdDSA) created instance of net.i2p.crypto.eddsa.EdDSASecurityProvider
2025-07-03 17:09:14 [http-nio-8888-exec-1] INFO  o.a.s.c.i.DefaultIoServiceFactoryFactory - No detected/configured IoServiceFactoryFactory; using Nio2ServiceFactoryFactory
2025-07-03 17:09:17 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/home/sagar/codingworks/javaspring/microservice-demo/config-server-repository/config-client.yml]' via location 'file:/home/sagar/codingworks/javaspring/microservice-demo/config-server-repository/'
2025-07-03 17:09:17 [http-nio-8888-exec-2] DEBUG o.s.c.c.s.s.GitCredentialsProviderFactory - Constructing UsernamePasswordCredentialsProvider for URI file://home/sagar/codingworks/javaspring/microservice-demo/config-server-repository
2025-07-03 17:09:21 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/home/sagar/codingworks/javaspring/microservice-demo/config-server-repository/config-client-kafka_to_elastic.yml]' via location 'file:/home/sagar/codingworks/javaspring/microservice-demo/config-server-repository/'
2025-07-03 17:09:21 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/home/sagar/codingworks/javaspring/microservice-demo/config-server-repository/config-client.yml]' via location 'file:/home/sagar/codingworks/javaspring/microservice-demo/config-server-repository/'
